0.6Amp,0.6MeV,0.3Amp,0.3MeV
3.47E+01,100.1363636,68.8,99.90825688
3.49E+01,100.1363636,68.8,99.90825688
3.49E+01,100.1818182,68.9,99.90825688
3.52E+01,100.1818182,69,99.90825688
3.56E+01,100.1818182,69.1,99.90825688
3.57E+01,100.1818182,69.1,99.90825688
3.57E+01,100.1818182,69.1,100
3.57E+01,100.1818182,69.4,100
3.62E+01,100.1818182,69.4,100
3.64E+01,100.1818182,69.5,100
3.64E+01,100.1818182,69.6,100
3.64E+01,100.1818182,69.6,100
3.64E+01,100.1818182,69.6,100
3.64E+01,100.1818182,69.6,100
3.65E+01,100.1818182,69.7,100
3.65E+01,100.1818182,69.7,100
3.66E+01,100.1818182,69.8,100
3.66E+01,100.1818182,69.8,100
3.68E+01,100.2272727,69.9,100
3.69E+01,100.2272727,70,100.0917431
3.69E+01,100.2272727,70,100.0917431
3.70E+01,100.2272727,70,100.0917431
3.71E+01,100.2727273,70.1,100.0917431
3.71E+01,100.2727273,70.1,100.0917431
3.71E+01,100.2727273,70.2,100.0917431
3.71E+01,100.2727273,70.3,100.0917431
3.72E+01,100.2727273,70.3,100.0917431
3.72E+01,100.3181818,70.3,100.0917431
3.74E+01,100.3181818,70.3,100.0917431
3.75E+01,100.3181818,70.4,100.0917431
3.76E+01,100.3181818,70.6,100.0917431
3.76E+01,100.3181818,70.6,100.0917431
3.76E+01,100.3181818,70.6,100.0917431
3.78E+01,100.3181818,70.7,100.1834862
3.78E+01,100.3636364,70.8,100.1834862
3.78E+01,100.3636364,70.9,100.1834862
3.79E+01,100.3636364,71,100.1834862
3.80E+01,100.3636364,71.1,100.1834862
3.80E+01,100.3636364,71.2,100.1834862
3.80E+01,100.3636364,71.2,100.1834862
3.80E+01,100.3636364,71.2,100.1834862
3.82E+01,100.3636364,71.2,100.1834862
3.82E+01,100.4090909,71.3,100.2752294
3.83E+01,100.4090909,71.3,100.2752294
3.83E+01,100.4090909,71.3,100.2752294
3.84E+01,100.4090909,71.4,100.2752294
3.85E+01,100.4090909,71.4,100.2752294
3.85E+01,100.4090909,71.5,100.2752294
3.87E+01,100.4545455,71.5,100.2752294
3.87E+01,100.4545455,71.6,100.2752294
3.89E+01,100.4545455,71.6,100.2752294
3.90E+01,100.4545455,71.7,100.2752294
3.90E+01,100.5,71.7,100.3669725
3.90E+01,100.5,71.7,100.3669725
3.92E+01,100.5,72,100.3669725
3.92E+01,100.5,72,100.3669725
